"DOCKET_NUMBER","DOT_NUMBER","OPERATING_AUTHORITY_REGISTRATION_TYPE","SERVE_DATE","REVOCATION_TYPE","EFFECTIVE_DATE"
"MC547533","01171032","CONTRACT","08/22/2007","INVOLUNTARY REVOCATION","09/24/2007"
"MC469920","01185303","COMMON","08/06/2007","INVOLUNTARY REVOCATION","09/10/2007"
"MC467408","01162321","CONTRACT","08/03/2007","INVOLUNTARY REVOCATION","09/05/2007"
"MC551489","01459846","CONTRACT","07/06/2007","INVOLUNTARY REVOCATION","08/08/2007"
"MC422342","00995833","COMMON","06/18/2007","INVOLUNTARY REVOCATION","07/23/2007"
"MC473823","01187918","COMMON","06/11/2007","INVOLUNTARY REVOCATION","07/16/2007"
"MC598507","01620243","CONTRACT","","VOLUNTARY REVOCATION",""
"MC580696","01334832","CONTRACT","05/29/2007","INVOLUNTARY REVOCATION","07/02/2007"
"MC309316","00657182","COMMON","05/17/2007","INVOLUNTARY REVOCATION","06/19/2007"
"MC579231","01561791","COMMON","05/11/2007","INVOLUNTARY REVOCATION","06/13/2007"
"MC425739","00962889","COMMON","05/03/2007","INVOLUNTARY REVOCATION","06/05/2007"
"MC534899","01412313","BROKER","04/17/2007","INVOLUNTARY REVOCATION","05/21/2007"
"MC318191","00684547","CONTRACT","03/15/2007","INVOLUNTARY REVOCATION","04/17/2007"
"MC518525","01362002","CONTRACT","03/14/2007","INVOLUNTARY REVOCATION","04/16/2007"
"MC413201","00994549","COMMON","03/08/2007","INVOLUNTARY REVOCATION","04/10/2007"
"MC517779","01340628","COMMON","01/08/2007","INVOLUNTARY REVOCATION","02/12/2007"
"MC557297","01476484","COMMON","01/04/2007","INVOLUNTARY REVOCATION","02/06/2007"
"MC479672","01204379","COMMON","01/11/2007","VOLUNTARY REVOCATION",""
"MC355084","00796568","CONTRACT","12/22/2006","INVOLUNTARY REVOCATION","01/24/2007"
"MC422342","00995833","COMMON","12/11/2006","INVOLUNTARY REVOCATION","01/16/2007"
"MC565622","01508355","CONTRACT","12/05/2006","INVOLUNTARY REVOCATION","01/08/2007"
"MC567072","01420064","COMMON","11/24/2006","INVOLUNTARY REVOCATION","12/27/2006"
"MC492747","01142826","CONTRACT","11/03/2006","INVOLUNTARY REVOCATION","12/06/2006"
"MC496941","01270950","CONTRACT","10/26/2006","INVOLUNTARY REVOCATION","11/28/2006"
"MC551489","01459846","CONTRACT","10/19/2006","INVOLUNTARY REVOCATION","11/21/2006"
"MC473823","01187918","COMMON","10/17/2006","INVOLUNTARY REVOCATION","11/20/2006"
"MC550851","01458027","CONTRACT","10/11/2006","INVOLUNTARY REVOCATION","11/13/2006"
"MC567072","01420064","COMMON","10/02/2006","INVOLUNTARY REVOCATION","11/06/2006"
"MC547624","01166160","COMMON","09/01/2006","INVOLUNTARY REVOCATION","10/04/2006"
"MC565622","01508355","CONTRACT","08/31/2006","INVOLUNTARY REVOCATION","10/03/2006"
"MC552500","01148558","CONTRACT","08/21/2006","INVOLUNTARY REVOCATION","09/25/2006"
"MC445058","01049617","CONTRACT","08/04/2006","INVOLUNTARY REVOCATION","09/06/2006"
"MC498081","01275752","CONTRACT","","VOLUNTARY REVOCATION",""
"MC119226","00070892","COMMON","07/28/2006","INVOLUNTARY REVOCATION","08/30/2006"
"MC119226","00070892","CONTRACT","07/28/2006","INVOLUNTARY REVOCATION","08/30/2006"
"MC466637","01165309","COMMON","07/06/2006","INVOLUNTARY REVOCATION","08/08/2006"
"MC524724","02234302","BROKER","07/03/2006","INVOLUNTARY REVOCATION","08/07/2006"
"MC422342","00995833","COMMON","07/05/2006","INVOLUNTARY REVOCATION","08/07/2006"
"MC413201","00994549","COMMON","06/28/2006","INVOLUNTARY REVOCATION","07/31/2006"
"MC558576","01481394","COMMON","07/18/2006","VOLUNTARY REVOCATION",""
"MC536415","01417653","COMMON","06/22/2006","INVOLUNTARY REVOCATION","07/25/2006"
"MC509288","03921623","CONTRACT","06/01/2006","INVOLUNTARY REVOCATION","07/05/2006"
"MC371553","00842160","CONTRACT","03/31/2006","INVOLUNTARY REVOCATION","05/03/2006"
"MC517975","00693368","CONTRACT","03/20/2006","INVOLUNTARY REVOCATION","04/24/2006"
"MC483142","01213131","COMMON","03/16/2006","INVOLUNTARY REVOCATION","04/18/2006"
"MC401973","00930837","CONTRACT","03/10/2006","INVOLUNTARY REVOCATION","04/12/2006"
"MC517779","01340628","COMMON","02/28/2006","INVOLUNTARY REVOCATION","04/03/2006"
"MC515071","01334345","COMMON","02/16/2006","INVOLUNTARY REVOCATION","03/21/2006"
"MC517569","01344108","CONTRACT","02/16/2006","INVOLUNTARY REVOCATION","03/21/2006"
"MC522616","01332312","CONTRACT","01/30/2006","INVOLUNTARY REVOCATION","03/06/2006"
"MC445487","01068877","COMMON","01/24/2006","INVOLUNTARY REVOCATION","02/27/2006"
"MC443048","01061977","CONTRACT","12/08/2005","INVOLUNTARY REVOCATION","01/10/2006"
"MC474357","01063416","COMMON","11/15/2005","INVOLUNTARY REVOCATION","12/19/2005"
"MC239432","00434067","COMMON","10/19/2005","INVOLUNTARY REVOCATION","11/21/2005"
"MC450289","00643206","CONTRACT","10/11/2005","INVOLUNTARY REVOCATION","11/14/2005"
"MC212879","00304376","COMMON","09/30/2005","INVOLUNTARY REVOCATION","11/02/2005"
"MC212879","00304376","CONTRACT","09/30/2005","INVOLUNTARY REVOCATION","11/02/2005"
"MC445058","01049617","CONTRACT","09/21/2005","INVOLUNTARY REVOCATION","10/24/2005"
"MC413201","00994549","COMMON","08/30/2005","INVOLUNTARY REVOCATION","10/03/2005"
"MC478478","01200344","CONTRACT","08/16/2005","INVOLUNTARY REVOCATION","09/19/2005"
"MC467055","01269487","COMMON","08/08/2005","INVOLUNTARY REVOCATION","09/12/2005"
"MC151445","00219780","COMMON","07/11/2005","INVOLUNTARY REVOCATION","08/15/2005"
"MC494896","01266174","COMMON","06/13/2005","INVOLUNTARY REVOCATION","07/18/2005"
"MC472068","01180484","COMMON","06/14/2005","INVOLUNTARY REVOCATION","07/18/2005"
"MC401973","00930837","CONTRACT","06/03/2005","INVOLUNTARY REVOCATION","07/06/2005"
"MC467055","01269487","COMMON","05/23/2005","INVOLUNTARY REVOCATION","06/27/2005"
"MC381300","00868666","COMMON","04/11/2005","INVOLUNTARY REVOCATION","05/16/2005"
"MC475520","01194790","COMMON","03/31/2005","INVOLUNTARY REVOCATION","05/03/2005"
"MC342291","00758864","COMMON","03/23/2005","INVOLUNTARY REVOCATION","04/25/2005"
"MC467055","01269487","COMMON","02/17/2005","INVOLUNTARY REVOCATION","03/22/2005"
"MC380491","00865473","COMMON","02/09/2005","INVOLUNTARY REVOCATION","03/14/2005"
"MC492747","01142826","CONTRACT","02/09/2005","INVOLUNTARY REVOCATION","03/14/2005"
"MC476573","01155527","COMMON","01/24/2005","INVOLUNTARY REVOCATION","02/28/2005"
"MC479672","01204379","COMMON","01/11/2005","INVOLUNTARY REVOCATION","02/14/2005"
"MC481738","01211984","CONTRACT","01/07/2005","INVOLUNTARY REVOCATION","02/09/2005"
"MC497990","01207104","CONTRACT","12/13/2004","INVOLUNTARY REVOCATION","01/18/2005"
"MC476988","00506429","COMMON","12/01/2004","INVOLUNTARY REVOCATION","01/03/2005"
"MC422342","00995833","COMMON","11/17/2004","INVOLUNTARY REVOCATION","12/20/2004"
"MC434726","01034942","CONTRACT","10/22/2004","INVOLUNTARY REVOCATION","11/24/2004"
"MC467408","01162321","CONTRACT","09/28/2004","INVOLUNTARY REVOCATION","11/01/2004"
"MC472068","01180484","COMMON","09/07/2004","INVOLUNTARY REVOCATION","10/12/2004"
"MC413201","00994549","COMMON","08/23/2004","INVOLUNTARY REVOCATION","09/27/2004"
"MC426713","00728642","CONTRACT","08/12/2004","INVOLUNTARY REVOCATION","09/14/2004"
"MC478478","01200344","CONTRACT","07/29/2004","INVOLUNTARY REVOCATION","08/31/2004"
"MC422342","00995833","COMMON","07/12/2004","INVOLUNTARY REVOCATION","08/16/2004"
"MC395151","00450931","CONTRACT","07/01/2004","INVOLUNTARY REVOCATION","08/03/2004"
"MC467408","01162321","CONTRACT","06/29/2004","INVOLUNTARY REVOCATION","08/02/2004"
"MC464741","01151226","CONTRACT","06/01/2004","INVOLUNTARY REVOCATION","07/06/2004"
"MC385017","00881733","COMMON","04/16/2004","INVOLUNTARY REVOCATION","05/19/2004"
"MC464844","01150357","CONTRACT","04/09/2004","INVOLUNTARY REVOCATION","05/12/2004"
"MC450296","01049161","COMMON","04/05/2004","INVOLUNTARY REVOCATION","05/10/2004"
"MC438143","01054657","CONTRACT","04/27/2004","VOLUNTARY REVOCATION",""
"MC477961","01261247","CONTRACT","03/29/2004","INVOLUNTARY REVOCATION","05/03/2004"
"MC362425","00767025","COMMON","03/22/2004","INVOLUNTARY REVOCATION","04/26/2004"
"MC436404","01044521","COMMON","03/08/2004","INVOLUNTARY REVOCATION","04/12/2004"
"MC332308","00607134","COMMON","02/27/2004","INVOLUNTARY REVOCATION","03/31/2004"
"MC371553","00842160","CONTRACT","02/27/2004","INVOLUNTARY REVOCATION","03/31/2004"
"MC438639","01052528","COMMON","02/27/2004","INVOLUNTARY REVOCATION","03/31/2004"
"MC468989","01170561","CONTRACT","02/20/2004","INVOLUNTARY REVOCATION","02/11/2004"
"MC471959","01034074","CONTRACT","02/05/2004","INVOLUNTARY REVOCATION","01/28/2004"
"MC436576","01012206","CONTRACT","01/20/2004","INVOLUNTARY REVOCATION","01/09/2004"
"MC433561","01022464","COMMON","11/26/2003","INVOLUNTARY REVOCATION","10/30/2003"
"MC394445","00911759","BROKER","12/12/2003","INVOLUNTARY REVOCATION","11/26/2003"
"MC438379","01001665","COMMON","12/11/2003","INVOLUNTARY REVOCATION","11/16/2003"
"MC445487","01068877","COMMON","11/12/2003","INVOLUNTARY REVOCATION","10/16/2003"
"MC309316","00657182","COMMON","09/17/2003","INVOLUNTARY REVOCATION","08/21/2003"
"MC358906","00790027","CONTRACT","09/05/2003","INVOLUNTARY REVOCATION","08/11/2003"
"MC259853","00509215","CONTRACT","06/10/2003","INVOLUNTARY REVOCATION","05/14/2003"
"MC159006","00226673","BROKER","03/24/2003","INVOLUNTARY REVOCATION","02/26/2003"
"MC156009","00193644","BROKER","02/21/2003","INVOLUNTARY REVOCATION","01/26/2003"
"MC342128","00758423","COMMON","02/07/2003","INVOLUNTARY REVOCATION","01/12/2003"
"MC413201","00994549","COMMON","12/20/2002","INVOLUNTARY REVOCATION","11/23/2002"
"MC317597","00682298","CONTRACT","12/11/2002","INVOLUNTARY REVOCATION","11/14/2002"
"MC425744","01009435","COMMON","10/30/2002","INVOLUNTARY REVOCATION","10/03/2002"
"MC380491","00865473","COMMON","10/07/2002","INVOLUNTARY REVOCATION","09/11/2002"
"MC412196","04188313","CONTRACT","","VOLUNTARY REVOCATION",""
"MC317597","00682298","COMMON","08/27/2002","INVOLUNTARY REVOCATION","08/01/2002"
"MC303167","00611501","COMMON","06/14/2002","INVOLUNTARY REVOCATION","05/19/2002"
"MC416435","00983931","CONTRACT","04/25/2002","INVOLUNTARY REVOCATION","04/01/2002"
"MC368053","00830331","COMMON","04/15/2002","INVOLUNTARY REVOCATION","03/20/2002"
"MC375005","02225871","BROKER","03/15/2002","INVOLUNTARY REVOCATION","02/17/2002"
"MC310559","00660229","CONTRACT","03/12/2002","INVOLUNTARY REVOCATION","02/13/2002"
"MC405537","00945049","CONTRACT","02/27/2002","INVOLUNTARY REVOCATION","01/31/2002"
"MC413201","00994549","COMMON","01/23/2002","INVOLUNTARY REVOCATION","12/26/2001"
"MC303167","00611501","COMMON","11/20/2001","INVOLUNTARY REVOCATION","10/24/2001"
"MC380491","00865473","COMMON","11/06/2001","INVOLUNTARY REVOCATION","10/11/2001"
"MC364194","00823070","COMMON","10/16/2001","INVOLUNTARY REVOCATION","09/19/2001"
"MC364194","00823070","CONTRACT","10/16/2001","INVOLUNTARY REVOCATION","09/19/2001"
"MC309316","00657182","COMMON","09/17/2001","INVOLUNTARY REVOCATION","08/21/2001"
"MC399570","03535702","CONTRACT","08/31/2001","INVOLUNTARY REVOCATION","08/07/2001"
"MC373389","00855229","CONTRACT","06/08/2001","INVOLUNTARY REVOCATION","05/14/2001"
"MC371058","00840639","COMMON","03/06/2001","INVOLUNTARY REVOCATION","03/01/2001"
"MC362082","00814467","CONTRACT","02/15/2001","INVOLUNTARY REVOCATION","01/22/2001"
"MC355498","00798373","CONTRACT","02/01/2001","INVOLUNTARY REVOCATION","01/05/2001"
"MC299194","00626062","CONTRACT","01/16/2001","INVOLUNTARY REVOCATION","01/10/2001"
"MC310559","00660229","CONTRACT","12/22/2000","INVOLUNTARY REVOCATION","11/28/2000"
"MC293451","00616849","CONTRACT","11/21/2000","INVOLUNTARY REVOCATION","10/25/2000"
"MC371058","00840639","COMMON","09/12/2000","INVOLUNTARY REVOCATION","08/16/2000"
"MC368053","00830331","COMMON","08/25/2000","INVOLUNTARY REVOCATION","08/01/2000"
"MC175528","00610108","CONTRACT","05/25/2000","INVOLUNTARY REVOCATION","04/28/2000"
"MC250292","00461253","CONTRACT","04/11/2000","INVOLUNTARY REVOCATION","03/16/2000"
"MC329308","00715489","CONTRACT","02/29/2000","INVOLUNTARY REVOCATION","02/02/2000"
"MC327025","00689280","CONTRACT","05/14/1999","INVOLUNTARY REVOCATION","04/19/1999"
"MC175528","00610108","CONTRACT","03/05/1999","INVOLUNTARY REVOCATION","02/07/1999"
"MC329308","00715489","CONTRACT","12/02/1998","INVOLUNTARY REVOCATION","11/04/1998"
"MC151445","00219780","COMMON","08/27/1998","INVOLUNTARY REVOCATION","08/01/1998"
"MC321832","00694163","COMMON","05/15/1998","INVOLUNTARY REVOCATION","04/21/1998"
"MC317931","00678012","COMMON","04/29/1998","INVOLUNTARY REVOCATION","04/03/1998"
"MC311044","00635289","COMMON","09/25/1997","INVOLUNTARY REVOCATION","08/29/1997"
"MC283147","03313025","CONTRACT","06/04/1997","INVOLUNTARY REVOCATION","05/07/1997"
"MC239432","00434067","COMMON","01/23/1997","INVOLUNTARY REVOCATION","10/18/1996"
"MC239432","00434067","CONTRACT","01/23/1997","INVOLUNTARY REVOCATION","10/18/1996"
"MC208618","02399419","COMMON","05/24/1996","INVOLUNTARY REVOCATION",""
"MC081955","00043124","COMMON","03/23/1995","INVOLUNTARY REVOCATION",""
"MC155899","00194360","BROKER","","VOLUNTARY REVOCATION",""
